SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.07403045562135688, 0.0004241321780901565
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.07403045562135688, 0.0004241321780901565
SF2H, CosinePredictor(), temporal_edges, spearmanr@100, -0.00177088792681918, 0.9329002563773986
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.04212440460738409, 0.04510411109724987
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.04214599366713458, 0.04499405415462716
SF2H, CosinePredictor(), temporal_edges, spearmanr@100, 0.016219677316514292, 0.4405820614950392
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.0773344929561121, 0.00023108289228523194
SF2H, CosinePredictor(), temporal_edges, spearmanr@100, -0.0052335183909568775, 0.8034939461942453
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.10208736780397445, 1.136301557308497e-06
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.07703496416669606, 0.00024440062104591167
SF2H, CosinePredictor(), agg, spearmanr@100, -0.13201737373215425, 2.894254767232577e-10
SF2H, CosinePredictor(), agg, spearmanr@100, -0.05115568918650861, 0.014942228568464383
SF2H, CosinePredictor(), temporal_edges, spearmanr@100, -0.018401522573564363, 0.3815906365763768
SF2H, CosinePredictor(), time_tensor, spearmanr@100, -0.07392489081413278, 0.0004322724995254116
SF2H, CosinePredictor(), DTFT, spearmanr@100, -0.09006027139475511, 1.7818205028060662e-05
SF2H, DotPredictor(), agg_simp, spearmanr@100, 0.020035732596402463, 0.3407477453761
SF2H, DotPredictor(), agg_simp, spearmanr@100, -0.001389528835099937, 0.9473262460788354
SF2H, DotPredictor(), agg, spearmanr@100, -0.01726414670822463, 0.4117145488470474
SF2H, DotPredictor(), agg, spearmanr@100, -0.048438822504641314, 0.021202289395039018
SF2H, DotPredictor(), temporal_edges, spearmanr@100, -0.06198525546534244, 0.003178683707809042
SF2H, DotPredictor(), time_tensor, spearmanr@100, -0.04452324321247313, 0.03418394396976316
SF2H, DotPredictor(), DTFT, spearmanr@100, 0.02915671169407983, 0.16558135745178842
HighSchool, DotPredictor(), agg_simp, spearmanr@100, -0.12761003947637703, 0.05327731382807677
HighSchool, DotPredictor(), agg_simp, spearmanr@100, -0.1367352222487973, 0.03825273188171566
HighSchool, DotPredictor(), agg, spearmanr@100, -0.03642725226169312, 0.5825806335963295
HighSchool, DotPredictor(), agg, spearmanr@100, 0.1885402617128457, 0.004110485912456477
HighSchool, DotPredictor(), temporal_edges, spearmanr@100, 0.03532950816034165, 0.5940019363460267
HighSchool, DotPredictor(), time_tensor, spearmanr@100, 0.10065761085316809, 0.12798420378873074
HighSchool, DotPredictor(), DTFT, spearmanr@100, -0.01852702072941298, 0.7798846987043936
HighSchool, DotPredictor(), agg_simp, spearmanr@100, -0.07895226095340012, 0.23298324958099895
HighSchool, DotPredictor(), agg_simp, spearmanr@100, -0.01890970241074665, 0.7754580960142119
HighSchool, DotPredictor(), agg, spearmanr@100, -0.04975996094279747, 0.4526521050389283
HighSchool, DotPredictor(), agg, spearmanr@100, -0.09376835429616898, 0.1563530511553485
HighSchool, DotPredictor(), temporal_edges, spearmanr@100, -0.1314486918056312, 0.04644733201914178
HighSchool, DotPredictor(), time_tensor, spearmanr@100, -0.07397542651007621, 0.2638609778628411
HighSchool, DotPredictor(), DTFT, spearmanr@100, -0.1248829393503781, 0.05861979459405014
SF2H, DotPredictor(), agg_simp, spearmanr@100, -0.15084710106848015, 5.461423288510441e-13
SF2H, DotPredictor(), agg_simp, spearmanr@100, -0.13103743440244442, 3.9211539446318216e-10
SF2H, DotPredictor(), agg, spearmanr@100, -0.142322514310316, 1.036562307710347e-11
SF2H, DotPredictor(), agg, spearmanr@100, -0.17386475394458833, 8.093271937380461e-17
SF2H, DotPredictor(), temporal_edges, spearmanr@100, 0.09825088523532093, 2.831987447547739e-06
